Sector,Source,Year,Type,State,"Shell factor (1=2020 res stock, 1=2018 com stock)"
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Pennsylvania,0.533572954
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Rhode Island,0.548080519
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,South Carolina,0.732108167
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,South Dakota,0.693713453
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Tennessee,0.814594352
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Texas,0.730580174
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Utah,0.758515929
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Vermont,0.537079840
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Virginia,0.551097607
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Washington,0.721430895
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,West Virginia,0.727709249
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Wisconsin,0.588489332
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Wyoming,0.564577014
